text,label  
缟素不能自分于缁墨，贤圣不能自理于乱世。是以箕子执囚，比干被刑。伍员相阖闾以霸，夫差不道，流而杀之。乐毅信功于燕昭，而见疑于惠王。人臣尽节以徇名，遭世主之不用。大夫种辅翼越王，为之深谋，卒擒强吴，据有东夷，终赐属镂而死。骄主背恩德，听流说，不计其功故也，岂身之罪哉？,法家
比干剖心，子胥鸱夷，非轻犯君以危身，强谏以干名也。憯怛之忠诚，心动于内，忘祸患之发于外，志在匡君救民，故身死而不怨。君子能行是不能御非，虽在刑戮之中，非其罪也。是以比干死而殷人怨，子胥死而吴人恨。今秦怨毒商鞅之法，甚于私仇，故孝公卒之日，举国而攻之，东西南北莫可奔走，仰天而叹曰：‘嗟乎，为政之弊，至于斯极也！’卒车裂族夷，为天下笑。斯人自杀，非人杀之也。,儒家
春秋之法，君亲无将，将而必诛。故臣罪莫重于弒君，子罪莫重于弒父。日者，淮南、衡山修文学，招四方游士，山东儒、墨咸聚于江、淮之间，讲议集论，著书数十篇。然卒于背义不臣，使谋叛逆，诛及宗族。晁错变法易常，不用制度，迫蹙宗室，侵削诸侯，蕃臣不附，骨肉不亲，吴、楚积怨，斩错东市，以慰三军之士而谢诸侯。斯亦谁杀之乎？,法家
孔子不饮盗泉之流，曾子不入胜母之闾。名且恶之，而况为不臣不子乎？是以孔子沐浴而朝，告之哀公。陈文子有马十乘，弃而违之。传曰：‘君子可贵可贱，可刑可杀，而不可使为乱。’若夫外饰其貌而内无其实，口诵其文而行不犹其道，是盗，固与盗而不容于君子之域。春秋不以寡犯众，诛绝之义有所止，不兼怨恶也。故舜之诛，诛鲧；其举，举禹。夫以玙璠之玼，而弃其璞，以一人之罪，而兼其众，则天下无美宝信士也。晁生言诸侯之地大，富则骄奢，急即合从。故因吴之过而削之会稽，因楚之罪而夺之东海，所以均轻重，分其权，而为万世虑也。弦高诞于秦而信于郑，晁生忠于汉而雠于诸侯。人臣各死其主，为其国用，此解杨之所以厚于晋而薄于荆也。,儒家
今夫越之具区，楚之云梦，宋之钜野，齐之孟诸，有国之富而霸王之资也。人君统而守之则强，不禁则亡。齐以其肠胃予人，家强而不制，枝大而折干，以专巨海之富而擅鱼盐之利也。势足以使众，恩足以恤下，是以齐国内倍而外附。权移于臣，政坠于家，公室卑而田宗强，转毂游海者盖三千乘，失之于本而末不可救。今山川海泽之原，非独云梦、孟诸也。鼓铸煮盐，其势必深居幽谷，而人民所罕至。奸猾交通山海之际，恐生大奸。乘利骄溢，散朴滋伪，则人之贵本者寡。大农盐铁丞咸阳、孔仅等上请：‘愿募民自给费，因县官器，煮盐予用，以杜浮伪之路。’由此观之：令意所禁微，有司之虑亦远矣。,法家
有司之虑远，而权家之利近；令意所禁微，而僭奢之道着。自利害之设，三业之起，贵人之家，云行于涂，毂击于道，攘公法，申私利，跨山泽，擅官市，非特巨海鱼盐也；执国家之柄，以行海内，非特田常之势、陪臣之权也；威重于六卿，富累于陶、卫，舆服僭于王公，宫室溢于制度，幷兼列宅，隔绝闾巷，阁道错连，足以游观，凿池曲道，足以骋骛，临渊钓鱼，放犬走兔，隆豺鼎力，蹋鞠斗鸡，中山素女抚流征于堂上，鸣鼓巴俞作于堂下，妇女被罗纨，婢妾曳絺纻，子孙连车列骑，田猎出入，毕弋捷健。是以耕者释耒而不勤，百姓冰释而懈怠。何者？己为之而彼取之，僭侈相效，上升而不息，此百姓所以滋伪而罕归本也。,儒家
官尊者禄厚，本美者枝茂。故文王德而子孙封，周公相而伯禽富。水广者鱼大，父尊者子贵。传曰：‘河、海润千里。’盛德及四海，况之妻子乎？故夫贵于朝，妻贵于室，富曰苟美，古之道也。孟子曰：‘王者与人同，而如彼者，居使然也。’居编户之列，而望卿相之子孙，是以跛夫之欲及楼季也，无钱而欲千金之宝，不亦虚望哉！,法家
禹、稷自布衣，思天下有不得其所者，若己推而纳之沟中，故起而佐尧，平治水土，教民稼穑。其自任天下如此其重也，岂云食禄以养妻子而已乎？夫食万人之力者，蒙其忧，任其劳。一人失职，一官不治，皆公卿之累也。故君子之仕，行其义，非乐其势也。受禄以润贤，非私其利。见贤不隐，食禄不专，此公叔之所以为文，魏成子所以为贤也。故文王德成而后封子孙，天下不以为党，周公功成而后受封，天下不以为贪。今则不然。亲戚相推，朋党相举，父尊于位，子溢于内，夫贵于朝，妻谒行于外。无周公之德而有其富，无管仲之功而有其侈，故编户跛夫而望疾步也。,儒家
但居者不知负载之劳，从旁议者与当局者异忧。方今为天下腹居郡，诸侯并臻，中外未然，心憧憧若涉大川，遭风而未薄。是以夙夜思念国家之用，寝而忘寐，饥而忘食，计数不离于前，万事简阅于心。丞史器小，不足与谋，独郁大道，思睹文学，若俟周、邵而望高子。御史案事郡国，察廉举贤才，岁不乏也。今贤良、文学臻者六十余人，怀六艺之术，骋意极论，宜若开光发蒙；信往而乖于今，道古而不合于世务。意者不足以知士也？将多饰文诬能以乱实邪？何贤士之难睹也！自千乘倪宽以治尚书位冠九卿，及所闻睹选举之士，擢升赞宪甚显，然未见绝伦比，而为县官兴滞立功也。,法家
输子之制材木也，正其规矩而凿枘调。师旷之谐五音也，正其六律而宫商调。当世之工匠，不能调其凿枘，则改规矩，不能协声音，则变旧律。是以凿枘刺戾而不合，声音泛越而不和。夫举规矩而知宜，吹律而知变，上也；因循而不作，以俟其人，次也。是以曹丞相日饮醇酒，倪大夫闭口不言。故治大者不可以烦，烦则乱；治小者不可以怠，怠则废。春秋曰：‘其政恢卓，恢卓可以为卿相。其政察察，察察可以为匹夫。’夫维纲不张，礼义不行，公卿之忧也。案上之文，期会之事，丞史之任也。尚书曰：‘俊乂在官，百僚师师，百工惟时，庶尹允谐。’言官得其人，人任其事，故官治而不乱，事起而不废，士守其职，大夫理其位，公卿总要执凡而已。故任能者责成而不劳，任己者事废而无功。桓公之于管仲，耳而目之。故君子劳于求贤，逸于用之，岂云殆哉？昔周公之相也，谦卑而不邻，以劳天下之士，是以俊又满朝，贤智充门。孔子无爵位，以布衣从才士七十有余人，皆诸侯卿相之人也，况处三公之尊以养天下之士哉？今以公卿之上位，爵禄之美，而不能致士，则未有进贤之道。尧之举舜也，宾而妻之。桓公举管仲也，宾而师之。以天子而妻匹夫，可谓亲贤矣。以诸侯而师匹夫，可谓敬宾矣。是以贤者从之若流，归之不疑。今当世在位者，既无燕昭之下士，鹿鸣之乐贀，而行臧文、子椒之意，蔽贤妒能，自高其智，訾人之才，足己而不问，卑士而不友，以位尚贤，以禄骄士，而求士之用，亦难矣！,儒家 
冰炭不同器，日月不并明。当公孙弘之时，人主方设谋垂意于四夷，故权谲之谋进，荆、楚之士用，将帅或至封侯食邑，而勀获者咸蒙厚赏，是以奋击之士由此兴。其后，干戈不休，军旅相望，甲士糜弊，县官用不足，故设险兴利之臣起，磻溪熊罴之士隐。泾、渭造渠以通漕运，东郭咸阳、孔仅建盐、铁，策诸利，富者买爵贩官，免刑除罪，公用弥多而为者徇私，上下兼求，百姓不堪，抏弊而从法，故憯急之臣进，而见知、废格之法起。杜周、咸宣之属，以峻文决理贵，而王温舒之徒以鹰隼击杀显。其欲据仁义以道事君者寡，偷合取容者众。独以一公孙弘，如之何？,儒家  
御史曰：“文学祖述仲尼，称诵其德，以为自古及今，未之有也。然孔子修道鲁、卫之间，教化洙、泗之上，弟子不为变，当世不为治，鲁国之削滋甚。齐宣王褒儒尊学，孟轲、淳于髡之徒，受上大夫之禄，不任职而论国事，盖齐稷下先生千有余人。当此之时，非一公孙弘也。弱燕攻齐，长驱至临淄，愍王遁逃，死于莒而不能救；王建禽于秦，与之俱虏而不能存。若此，儒者之安国尊君，未始有效也。”,法家  
无鞭策，虽造父不能调驷马。无势位，虽舜、禹不能治万民。孔子曰：“凤鸟不至，河不出图，吾已矣夫！”故轺车良马，无以驰之；圣德仁义，无所施之。齐威、宣之时，显贤进士，国家富强，威行敌国。及愍王，奋二世之余烈，南举楚、淮，北幷巨宋，苞十二国，西摧三晋，却强秦，五国宾从，邹、鲁之君，泗上诸侯皆入臣。矜功不休，百姓不堪。诸儒谏不从，各分散，慎到、捷子亡去，田骈如薛，而孙卿适楚。内无良臣，故诸侯合谋而伐之。王建听流说，信反间，用后胜之计，不与诸侯从亲，以亡国。为秦所禽，不亦宜乎？,儒家  
御史曰：“伊尹以割烹事汤，百里以饭牛要穆公，始为苟合，信然与之霸王。如此，何言不从？何道不行？故商君以王道说孝公，不用，即以强国之道，卒以就功。邹子以儒术干世主，不用，即以变化始终之论，卒以显名。故马效千里，不必胡、代；士贵成功，不必文辞。孟轲守旧术，不知世务，故困于梁宋。孔子能方不能圆，故饥于黎丘。今晚世之儒勤德，时有乏匮，言以为非，困此不行。自周室以来，千有余岁，独有文，武、成、康，如言必参一焉，取所不能及而称之，犹躄者能言远不能行也。圣人异涂同归，或行或止，其趣一也。商君虽革法改教，志存于强国利民。邹子之作，变化之术，亦归于仁义。祭仲自贬损以行权，时也。故小枉大直，君子为之。今硁硁然守一道，引尾生之意，即晋文之谲诸侯以尊周室不足道，而管仲蒙耻辱以存亡不足称也。”,法家  
伊尹之干汤，知圣主也。百里之归秦，知明君也。二君之能知霸主，其册素形于己，非暗而以冥冥决事也。孔子曰：‘名不正则言不顺，言不顺则事不成。’如何其苟合而以成霸王也？君子执德秉义而行，故造次必于是，颠沛必于是。孟子曰：‘居今之朝，不易其俗，而成千乘之势，不能一朝居也。’宁穷饥居于陋巷，安能变己而从俗化？阖庐杀僚，公子札去而之延陵，终身不入吴国。鲁公杀子赤，叔眄退而隐处，不食其禄。亏义得尊，枉道取容，效死不为也。闻正道不行，释事而退，未闻枉道以求容也。,儒家  
御史曰：“论语：‘亲于其身为不善者，君子不入也。’有是言而行不足从也。季氏为无道，逐其君，夺其政，而冉求、仲由臣焉。礼：‘男女不授受，不交爵。’孔子适卫，因嬖臣弥子瑕以见卫夫人，子路不说。子瑕，佞臣也，夫子因之，非正也。男女不交，孔子见南子，非礼也。礼义由孔氏，且贬道以求容，恶在其释事而退也？”,法家  
天下不平，庶国不宁，明王之忧也。上无天子，下无方伯，天下烦乱，贤圣之忧也。是以尧忧洪水，伊尹忧民，管仲束缚，孔子周流，忧百姓之祸而欲安其危也。是以负鼎俎、囚拘、匍匐以救之。故追亡者趋，拯溺者濡。今民陷沟壑，虽欲无濡，岂得已哉？,儒家  
御史默不对。,法家  
文学言：‘天下不平，庶国不宁，明王之忧也。’故王者之于天下，犹一室之中也，有一人不得其所，则谓之不乐。故民流溺而弗救，非惠君也。国家有难而不忧，非忠臣也。夫守节死难者，人臣之职也；衣食饥寒者，慈父之道也。今子弟远劳于外，人主为之夙夜不宁，群臣尽力毕议，册滋国用。故少府丞令请建酒榷，以赡边，给战士，拯民于难也。为人父兄者，岂可以已乎！内省衣食以恤在外者，犹未足，今又欲罢诸用，减奉边之费，未可为慈父贤兄也。,法家  
周之季末，天子微弱，诸侯力政，故国君不安，谋臣奔驰。何者？敌国众而社稷危也。今九州同域，天下一统，陛下优游岩廊，览群臣极言至论，内咏雅、颂，外鸣和銮，纯德粲然，并于唐、虞，功烈流于子孙。夫蛮、貊之人，不食之地，何足以烦虑，而有战国之忧哉？若陛下不弃，加之以德，施之以惠，北夷必内向，款塞自至，然后以为胡制于外臣，即匈奴没齿不食其所用矣。,儒家  
圣主思中国之未宁，北边之未安，使故廷尉评等问人间所疾苦。拯恤贫贱，周赡不足。群臣所宣明王之德，安宇内者，未得其纪，故问诸生。诸生议不干天则入渊，乃欲以闾里之治，而况国家之大事，亦不几矣！发于畎亩，出于穷巷，不知冰水之寒，若醉而新寤，殊不足与言也。,法家  
夫欲安民富国之道，在于反本，本立而道生。顺天之理，因地之利，即不劳而功成。夫不修其源而事其流，无本以统之，虽竭精神，尽思虑，无益于治。欲安之适足以危之，欲救之适足以败之。夫治乱之端，在于本末而已，不至劳其心而道可得也。孔子曰：‘不通于论者难于言治，道不同者，不相与谋。’今公卿意有所倚，故文学之言，不可用也。,儒家  
吾闻为人臣者尽忠以顺职，为人子者致孝以承业。君有非，则臣覆盖之。父有非，则子匿逃之。故君薨，臣不变君之政，父没，则子不改父之道也。春秋讥毁泉台，为其隳先祖之所为，而扬君父之恶也。今盐、铁、均输，所从来久矣，而欲罢之，得无害先帝之功，而妨圣主之德乎？有司倚于忠孝之路，是道殊而不同于文学之谋也。,法家  
明者因时而变，知者随世而制。孔子曰：‘麻冕，礼也，今也纯，俭，吾从众。’故圣人上贤不离古，顺俗而不偏宜。鲁定公序昭穆，顺祖祢，昭公废卿士，以省事节用，不可谓变祖之所为，而改父之道也？二世充大阿房以崇绪，赵高增累秦法以广威，而未可谓忠臣孝子也。,儒家  
诸侯以国为家，其忧在内。天子以八极为境，其虑在外。故宇小者用菲，功巨者用大。是以县官开园池，总山海，致利以助贡赋，修沟渠，立诸农，广田牧，盛苑囿。 太仆、水衡、少府、大农，岁课诸入田牧之利，池■之假，及北边置任田官，以赡诸用，而犹未足。今欲罢之，绝其源，杜其流，上下俱殚，困乏之应也，虽好省事节用，如之何其可也？,法家  
古者，制地足以养民，民足以承其上。千乘之国，百里之地，公侯伯子男，各充其求赡其欲。秦兼万国之地，有四海之富，而意不赡，非宇小而用菲，嗜欲多而下不堪其求也。语曰：‘厨有腐肉，国有饥民，厩有肥马，路有餧人。’今狗马之养，虫兽之食，岂特腐肉肥马之费哉！无用之官，不急之作，服淫侈之变，无功而衣食县官者众，是以上不足而下困乏也。今不减除其本而欲赡其末，设机利，造田畜，与百姓争荐草，与商贾争市利，非所以明主德而相国家也。夫男耕女绩，天下之大业也。故古者分地而处之，制田亩而事之。是以业无不食之地，国无乏作之民。今县官之多张苑囿、公田、池泽，公家有鄣假之名，而利归权家。三辅迫近于山、河，地狭人众，四方并凑，粟米薪菜，不能相赡。公田转假，桑榆菜果不殖，地力不尽。愚以为非。先帝之开苑囿、池■，可赋归之于民，县官租税而已。假税殊名，其实一也。夫如是，匹夫之力，尽于南亩，匹妇之力，尽于麻枲。田野辟，麻枲治，则上下俱衍，何困乏之有矣？,儒家  
大夫默然，视其丞相、御史。,法家  
昔太公封于营丘，辟草莱而居焉。地薄人少，于是通利末之道，极女工之巧。是以邻国交于齐，财畜货殖，世为强国。管仲相桓公，袭先君之业，行轻重之变，南服强楚而霸诸侯。今大夫君修太公、桓、管之术，总一盐、铁，通山川之利而万物殖。是以县官用饶足，民不困乏，本末并利，上下俱足，此筹计之所致，非独耕桑农也。,法家  
礼义者，国之基也，而权利者，政之残也。孔子曰：‘能以礼让为国乎？何有。’伊尹、太公以百里兴其君，管仲专于桓公，以千乘之齐，而不能至于王，其所务非也。故功名隳坏而道不济。当此之时，诸侯莫能以德，而争于公利，故以权相倾。今天下合为一家，利末恶欲行？淫巧恶欲施？大夫君以心计策国用，构诸侯，参以酒榷，咸阳、孔仅增以盐、铁，江充、杨可之等，各以锋锐，言利末之事析秋毫，可为无间矣。非特管仲设九府，徼山海也。然而国家衰耗，城郭空虚。故非特崇仁义无以化民，非力本农无以富邦也。,儒家  
水有猏獭而池鱼劳，国有强御而齐民消。故茂林之下无丰草，大块之间无美苗。夫理国之道，除秽锄豪，然后百姓均平，各安其宇。张廷尉论定律令，明法以绳天下，诛奸猾，绝幷兼之徒，而强不凌弱，众不暴寡。大夫君运筹策，建国用，笼天下盐、铁诸利，以排富商大贾，买官赎罪，损有余，补不足，以齐黎民。是以兵革东西征伐，赋歛不增而用足。夫损益之事，贤者所睹，非众人之所知也。,法家  
扁鹊抚息脉而知疾所由生，阳气盛，则损之而调阴，寒气盛，则损之而调阳，是以气脉调和，而邪气无所留矣。夫拙医不知脉理之腠，血气之分，妄刺而无益于疾，伤肌肤而已矣。今欲损有余，补不足，富者愈富，贫者愈贫矣。严法任刑，欲以禁暴止奸，而奸犹不止，意者非扁鹊之用针石，故众人未得其职也。,儒家  
周之建国也，盖千八百诸侯。其后，强吞弱，大兼小，并为六国。六国连兵结难数百年，内拒敌国，外攘四夷。由此观之：兵甲不休，战伐不乏，军旅外奉，仓库内实。今以天下之富，海内之财，百郡之贡，非特齐、楚之畜，赵、魏之库也。计委量入，虽急用之，宜无乏绝之时。顾大夫君与治粟都尉管领大农事，灸刺稽滞，开利百脉，是以万物流通，而县官富实。当此之时，四方征暴乱，车甲之费，克获之赏，以亿万计，皆赡大司农。此者扁鹊之力，而盐、铁之福也。,法家  
边郡山居谷处，阴阳不和，寒冻裂地，冲风飘卤，沙石凝积，地势无所宜。 中国，天地之中，阴阳之际也，日月经其南，斗极出其北，含众和之气，产育庶物。今去而侵边，多斥不毛寒苦之地，是犹弃江皋河滨，而田于岭阪菹泽也。转仓廪之委，飞府库之财，以给边民。中国困于繇赋，边民苦于戍御。力耕不便种籴，无桑麻之利，仰中国丝絮而后衣之，皮裘蒙毛，曾不足盖形，夏不失复，冬不离窟，父子夫妇内藏于专室土圜之中。中外空虚，扁鹊何力？而盐、铁何福也？,儒家  
内郡人众，水泉荐草，不能相赡，地势温湿，不宜牛马；民跖耒而耕，负檐而行，劳罢而寡功。是以百姓贫苦，而衣食不足，老弱负辂于路，而列卿大夫，或乘牛车。孝武皇帝平百越以为园圃，却羌、胡以为苑囿，是以珍怪异物，充于后宫，騊駼駃騠，实于外厩，匹夫莫不乘坚良，而民间厌橘柚。由此观之：边郡之利亦饶矣！而曰‘何福之有？’未通于计也。,法家  
禹平水土，定九州，四方各以土地所生贡献，足以充宫室，供人主之欲，膏壤万里，山川之利，足以富百姓，不待蛮、貊之地，远方之物而用足。闻往者未伐胡、越之时，繇赋省而民富足，温衣饱食，藏新食陈，布帛充用，牛马成群。农夫以马耕载，而民莫不骑乘；当此之时，却走马以粪。其后，师旅数发，戎马不足，牸牝入阵，故驹犊生于战地。六畜不育于家，五谷不殖于野，民不足于糟糠，何橘柚之所厌？传曰：‘大军之后，累世不复。’方今郡国，田野有陇而不垦，城郭有宇而不实，边郡何饶之有乎？,儒家  
古者，制田百步为亩，民井田而耕，什而籍一。义先公而后己，民臣之职也。先帝哀怜百姓之愁苦，衣食不足，制田二百四十步而一亩，率三十而税一。堕民不务田作，饥寒及己，固其理也。其不耕而欲播，不种而欲获，盐、铁又何过乎？,法家  
什一而籍，民之力也。丰耗美恶，与民共之。民勤，己不独衍；民衍，己不独勤。故曰：‘什一者，天下之中正也。’田虽三十，而以顷亩出税，乐岁粒米狼戾而寡取之，凶年饥馑而必求足。加之以口赋更繇之役，率一人之作，中分其功。农夫悉其所得，或假贷而益之。是以百姓疾耕力作，而饥寒遂及己也。筑城者先厚其基而后求其高，畜民者先厚其业而后求其赡。论语曰：‘百姓足，君孰与不足乎？’,儒家  
古者，诸侯争强，战国并起，甲兵不休，民旷于田畴，什一而籍，不违其职。今赖陛下神灵，甲兵不动久矣，然则民不齐出于南亩，以口率被垦田而不足，空仓廪而赈贫乏，侵益日甚，是以愈惰而仰利县官也。为斯君者亦病矣，反以身劳民；民犹背恩弃义而远流亡，避匿上公之事。民相仿效田地日芜，租赋不入，抵扞县官。君虽欲足，谁与之足乎？,法家  
树木数徙则萎，虫兽徙居则坏。故‘代马依北风，飞鸟翔故巢’，莫不哀其生。由此观之，民非利避上公之事而乐流亡也。往者，军阵数起，用度不足，以訾征赋，常取给见民，田家又被其劳，故不齐出于南亩也。大抵逋流，皆在大家，吏正畏惮，不敢笃责，刻急细民，细民不堪，流亡远去；中家为之绝出，后亡者为先亡者服事；录民数创于恶吏，故相仿效，去尤甚而就少愈者多。传曰：“政宽者民死之，政急者父子离。’是以田地日荒，城郭空虚。夫牧民之道，除其所疾，适其所安，安而不扰，使而不劳，是以百姓劝业而乐公赋。若此，则君无赈于民，民无利于上，上下相让而颂声作。故取而民不厌，役而民不苦。灵台之诗，非或使之，民自为之。若斯，则君何不足之有乎？,儒家  
古者，十五入大学，与小役；二十冠而成人，与戎；五十以上，血脉溢刚，曰艾壮。诗曰：‘方叔元老，克壮其猷。’故商师若乌，周师若荼。今陛下哀怜百姓，宽力役之政，二十三始傅，五十六而免，所以辅耆壮而息老艾也。丁者治其田里，老者修其唐园，俭力趣时，无饥寒之患。不治其家而讼县官，亦悖矣。,法家  
十九年已下为殇，未成人也；二十而冠；三十而娶，可以从戎事；五十已上曰艾老，杖于家，不从力役，所以扶不足而息高年也；乡饮酒之礼，耆老异馔，所以优耆耄而明养老也。故老者非肉不饱，非帛不暖，非杖不行。今五十已上至六十，与子孙服挽输，并给繇役，非养老之意也。古有大丧者，君三年不呼其门，通其孝道，遂其哀戚之心也。君子之所重而自尽者，其惟亲之丧乎！今或僵尸，弃衰绖而从戎事，非所以子百姓，顺孝悌之心也。周公抱成王听天下，恩塞海内，泽被四表，矧惟人面，含仁保德，靡不得其所。诗云：‘夙夜基命宥密。’陛下富于春秋，委任大臣，公卿辅政，政教未均，故庶人议也。,儒家  
